example,found_phrase,true_index,pred_index,true_sense,pred_sense,correct_index,correct_sense
"Она возвращается домой, а =дома= будто уже есть Она.",дома,82,82,2,1,True,False
"В строю поговаривали, что нехудо бы с ним (Сашкой. — Авт.), уже понюхавшим пороху, идти не до одного только призывного, а и дальше. Чтобы так вот всех, =как есть=, не разлучая, определили бы в одну часть.",как есть,83,83,3,2,True,False
"Приметя то, седую Мышь толкает Мышонок молодой И говорит: «=Какой судьбой= Бесхвостая здесь с нами заседает?»",какой судьбой,84,84,1,3,True,False
"Что ж, Сорокин умеет нагнетать давление — под конец ерзаешь уже =как на иголках=: и? какое же слово составится из этих 23 000 людей-слогов?",как на иголках,87,87,2,1,True,False
Я и сама все про вас понимаю.  Вы мне ясны =как на ладони=.  Видите?,как на ладони,88,88,2,1,True,False
Там ты был весь =как на ладошке=!,как на ладошке,88,88,2,1,True,False
Горы Бичиктэ и Унчжюль видны =словно на ладони=.,словно на ладони,88,88,2,1,True,False
"Она вышла из магазина в новеньких баретках и, не будь дура, домой пошла. «А то, думает, папаня, =как пить дать=, обратно не купит по причине все той же дороговизны».",как пить дать,90,90,3,1,True,False
"То есть интеллигентно, =как и положено= врачу-вредителю:  «Ни зъим, так надвкишу!»",как и положено,91,91,3,2,True,False
"Конечно, начни я свое повествование в один, =как положено= (то есть считаю, что положено, а как на самом деле надо — не знаю), прекрасный день, подобных страниц, скорее всего, удалось бы избежать…",как положено,91,91,1,2,True,False
"Комната у меня уже покачивается перед глазами; плывет, фокусничает пространство, =как и положено= в аквариуме, превращая, под определенным углом, толщу — в линзу, то сплющивая собеседника, как камбалу, то растягивая, как рыбу-иглу…",как и положено,91,91,3,1,True,False
"Все тут будет в меру, все =как положено=.",в меру,91,21,1,4,False,False
Уже чувствовалось — им (казакам. — Авт.) надо искать спасения. И тут =как раз= выступил председатель северного района — урманный главком.,как раз,93,93,2,1,True,False
"Стоп! Остановите детей и не спешите в воду сами. Наша река больна, и наибольшие проявления ее болезни, увы, приходятся =как раз= на сердце города — акватории Центрального и Куйбышевского пляжей.",как раз,93,93,3,2,True,False
В первой =как раз= не забудешь: дикий рев Блэйда «ФРРРРОООСТ!,как раз,93,93,3,1,True,False
Щабель взял фольварк без единого выстрела. Их налет был =как снег на голову=.,как снег на голову,95,95,1,2,True,False
Правильней будет не пить. У тебя подчиненные бойцы — будь перед ними =как стеклышко=.,как стеклышко,96,96,3,1,True,False
"Гуров сонно смотрит на них обоих, таких пропыленных (пришедших к нему незвано и — что тоже не в пользу — совсем незнакомых ему своими лицами); на миг Гуров молодеет: резко повысив голос, он выкрикивает — никакой подмоги кому бы то ни было, какая, =к чертям=, подмога! — ему даже смешно слушать, чтобы он направил куда-то своих солдат выручать грузовики, которые по собственной дурости влипли в ущелье! …",в голос,102,15,3,1,False,False
"Конечно, все это есть в Церкви и является как бы составной частью ее, но есть в Церкви и другая сердцевина: встреча, — встреча =лицом к лицу= со Христом.",лицом к лицу,103,103,1,3,True,False
Избирательная кампания близка к финишу. В предвыборной борьбе — как и в большом спорте — зачастую главенствует принцип «победа =любой ценой=».,любой ценой,104,104,1,2,True,False
"Самая неприятная обязанность — вот эти дела, — сказал (Гончаров. — Авт.) как бы =между прочим=.",между прочим,106,106,2,3,True,False
"Оно уже =на веки веков= при мне, никакая сила его отнять у меня не может!",на веки веков,110,110,2,1,True,False
"Роман целиком, =на все сто процентов=, состоит из гэгов — классических сорокинских, проверенных временем, обкатанных во многих текстах гэгов: непременная гомосексуальная сцена, озорное групповое изнасилование, жаркий спор о мнимо общеизвестном, матерная интермедия, отрывок-«очередь», посещение эстрадного концерта, состоящего из феерических номеров, трехстраничная наркотическая галлюцинация, наконец, шутейное членовредительство под переиначенную советскую песню «Давай сверлить друг другу ноги — и в дальний путь, на долгие года».",на все сто процентов,113,113,2,1,True,False
"Подхорунжий Коростылев шел серединой улицы, настороженно приглядываясь к черным заплотам и бревенчатым домам, боялся темноты, неожиданности, безмолвия улицы, и =на всякий случай= кобуру нагана держал открытой.",дома,114,82,2,1,False,False
"В окнах флигеля виднелись скромные занавески и цветы. С левой стороны двора помещалась мельница, а прямо напротив — ряд амбаров. Чистота и порядок бросались =на каждом шату= в глаза,",на каждом шату,115,115,2,1,True,False
"Русский здравый смысл удержал его (Иванова. — Авт.) =на пороге= того искусственного, аскетического, символического мира, в котором потонул германский художник...",на пороге,116,116,3,1,True,False
"Неизм. Как выглядел отец в сорок пятом, =на пороге= новой жизни?",на пороге,116,116,3,2,True,False
"Немилость, в которую он (Наполеон. — Авт.) впадает у правителей Франции, служит ему =в пользу=.",в пользу,116,116,2,1,True,False
Жива еще мать... Хотя и =на пороге= смерти...,на пороге,116,116,3,2,True,False
"В первый раз услышал, не обиделся даже. =Не в бровь, а в глаз=. Коньки отброшу — Муди умер.","не в бровь, а в глаз",119,119,1,2,True,False
"И Александра Владимировна сказала, казалось, =ни к селу ни к городу=:",ни к селу ни к городу,126,126,2,1,True,False
"(Я. — Авт.) вдруг сообразил: академик, =ничего себе=! А я-то его за простого инженера считал.",ничего себе,128,128,3,1,True,False
"Если воззовем =от сердца=, то и получим.",от сердца,132,132,2,1,True,False
"Ну, все то, что делается не =от сердца=, а с задней мыслью, с желанием выставить себя в лучшем виде.",в лучшем виде,132,14,2,2,False,False
"У нас огромный кусок работы делаем мы сами и =от всего сердца= и стараемся объяснить, что только объединив усилия, мы сможем добиться результатов.",от всего сердца,132,132,1,2,True,False
"Эта жизнь начиналась там, где росла на улицах дикая вишня, а на заброшенных участках малина, вылезали против всех правил вдоль заборов чернушки, свинушки, сыроежки, а иногда и подберезовики с подосиновиками, отрывая от мягкой сырой земли тяжеленные водопроводные трубы, где строили на деревьях шалаши, наблюдали за пыльной дорогой, клали пятикопеечные монеты под паровоз, играли в ножички «двенадцать палочек», штандер «американку», просто футбол и настольный теннис и =от души= дуплились в «картошку», вечерами жгли костры и пекли в золе картошку настоящую, сыпали в костер марганцовку и соль, разводили огонь до небес, а потом уходили спать, и только царственная Мария Борисовна-Анемподистовна, боясь оставить хотя б один уголек в самую покойную и тихую ночь и жалея залить костер водой, чтобы не пропала зола, ворошила допоздна угли; где, как запах жасмина, стелился над ухоженной землей уют дачных улиц и сырых вечеров, бродили дачницы, ставили самовары с шишками, а дети рассказывали друг другу страшные истории, дурачили доверчивого новенького мальчика Илюшу, верившего в летающие тарелки, байками про инопланетян, выбросившихся десантом в пшеничном поле, и заставляли носить из колодца воду, чтобы заливать агрессоров, а сами уходили в пшеницу и ухахатывались до рези в животе, и потом, когда приезжали в августе комбайны и убирали поле, счастливые, кувыркались в стогах.",от души,133,133,2,1,True,False
"Забравшись с ногами на стул и запахнув легкомысленно розовый ночной халат, она говорит Соне (а Соня сидит напротив в брезентовом дождевике, перебирая ключи) — говорит о таланте Астрова и восхищается им =от души=, — и в ораторском запале проговаривается.",от души,133,133,2,1,True,False
"=От всей души= желаю Вам найти подходящую работу, ведь «учителем сначала нужно родиться, а потом уже стать».",от всей души,133,133,1,2,True,False
"Кот, мурлыкая, изгибая спину и хвост, терся о ножку стола, запах был — =пальчики оближешь=.",пальчики оближешь,136,136,1,2,True,False
"Я хоть и нахожусь временно в разводе, но с =первым встречным= никогда.",первым встречным,138,138,1,2,True,False
"У него сердце проваливалось, конечно, но все же беглянка возвращалась, только уже ночью, если он сам не перехватывал ее, когда догадался, что бросается в =первый попавшийся=, остановка же, как гриб, росла прямо у дома…",дома,139,82,1,2,False,False
"Смотри, смотри, точечка, так и далее, может, высмотришь для меня что-то умное, с чем не страшно пойти в жизнь то ль грядущую, то ль, как водится, в очередную, — а это все равно что сходить за =первый попавшийся= угол, где обязательно сидит разливающий спиртосодержащую жидкость и очень на эти мгновения доблестный, блещущий нескрываемой человечностью бомж.",все равно,139,42,1,2,False,False
"То есть это были дети-воображалы, о которых малышня в родном дворе пела, дразнясь:  Вображуля =первый сорт=, 
  Куда едешь?",первый сорт,140,140,1,2,True,False
"[Эдуардов:] Болеро, па-де-труа, вальс, чечетка — выбирай =по вкусу=. [Наконечников:] Вальс-чечетка.",по вкусу,141,141,2,1,True,False
И опять после паузы: — А у меня домашняя есть… =Высший сорт=… А?,дома,141,82,1,2,False,False
"Вы были правы =по всем статьям=, и нечегоеспокоиться.",по всем статьям,142,142,2,1,True,False
Хочу окончательно обставить 93-й.  =По всем статьям=.  И хочу на следующий год выйти в Атлантику.,по всем статьям,142,142,2,1,True,False
Город напичкан советской символикой =по самое горло=.,по самое горло,143,143,2,1,True,False
"Наконец поднялся в рост, перешагнул корягу и двинулся дальше по воде, то по грудь, то по пояс, но чаще =по самое горло=.",в рост,143,34,2,2,False,False
"Вам, друзья, по-моему, в самый раз будет сделать =по глотку= доброго старого коньяка, — сказал один из троих.",в самый раз,143,36,2,1,False,False
"Капитан Колотилин опоздал на НП, к своим ротным, на целый час потому, что засиделся у Светы. Само собой получилось: им было почти =по пути=, он проводил ее до землянки и затем зашел напиться водочки.",по пути,145,145,1,3,True,False
"Во втором — Колян возвращается с «вечерины», по-видимому, уже отзажигав, и =по дороге= «сосет из бутылки лимонад».",по дороге,145,145,1,2,True,False
"К Окуличу я заехал =по дороге=, но его не оказалось дома, и поговорить с ним в этот день не удалось.",дома,145,82,2,2,False,False
"Мустыгины, располагай они некоторым запасом времени, разворошили бы старые подшивки областных газет, =по душам= покалякали бы с пьющими аспирантами Тимирязевки, пораскинули бы верткими мозгами и на всякий случай завели бы тайно хранимое досье на министров, власть свою употреблявших на создание в стране голода.",на всякий случай,146,114,1,2,False,False
"Мне нравились его стихи, хотя они были написаны =по моде= того времени немножко под Северянина.",по моде,148,148,1,2,True,False
"Стал Шишлин и ростом выше, и крупнее; галстук, белая рубашка, двубортный пиджак, брюки =по моде=, без манжет.",по моде,148,148,1,2,True,False
"Я пишу эту колонку сегодня, в пятницу утром, даже не =по горячим следам=, а по живому, поскольку драма на улице Мельникова продолжается.",по горячим следам,150,150,1,2,True,False
"Кстати, лагерь именно здесь был поставлен =по счастливой случайности=, ибо его установка планировалась в дальней части Галереи Григоряна у озера.",по счастливой случайности,151,151,2,1,True,False
"=По чистой случайности= один из прибившихся к нему большевиков нашел ему комнату, где заседала комиссия по вещевому снабжению Красной гвардии.",по чистой случайности,151,151,2,3,True,False
"И над этим другом как часто сетует наша душа, как часто сетуют и Марфа и Мария: та сторона нашей души, которая по своему призванию, =по своим силам= и возможностям способна молчать у ног Господних, слушая каждое Его слово, делаясь живой и трепетной от каждого животворящего слова Господня, и та сторона нашей души, подобная Марфе, которая способна была бы в правде и чистоте, с вдохновением творить в жизни дела Божии, которая могла бы быть не встревоженной служанкой, не мятущейся Марфой, какой мы часто бываем по образу растерявшейся Марфы евангельской, а трудолюбивой, творческой, живой Марфой, способной превращать своими руками, своей любовью, своей заботой все самое обыкновенное вокруг нас в Царство Божие, в явление любви человеческой и любви Божией.",по своим силам,151,151,1,2,True,False
"Об этом следует задуматься многим людям, особенно тем, кто склонен поучать, как следовало бороться в условиях, о которых, =по счастливому случаю=, этот пустой учитель не имеет представления.",по счастливому случаю,151,151,2,1,True,False
"Отметим, однако, что широкомасштабные инвестиции в развитие региональной сети филиалов и дочерних банков =по силам= только крупным финансовым группам.",по силам,151,151,1,2,True,False
"Мне оказалось не =по силам= постичь причудливое остроумие автора, равно как различить владельцев «пулевидной» головы и головы «костистой», которой к тому же «присуще редкостное изящество», и продираться через вымороченную стилистику Пика («Внутренность Горменгаста < замка> озлобленно легла перед ним с видом враждебной интимности…») было мучительно.",как раз,151,93,1,3,False,False
"В случае крупномасштабной агрессии со стороны превосходящего =по своим силам= противника предусматривается ведение национальными ВС оборонительных боевых действий с привлечением всех имеющихся в стране людских и материальных ресурсов, использование всех форм сопротивления и вооруженной борьбы, в том числе партизанской.",в случае,151,43,1,2,False,False
"В свое время В.В. Крестовский писал про одного литератора (слова эти будто предсказывают судьбу Шкляревского), что тот «принадлежал к тому темному, рабочему классу журнальной литературы, который смело, =по всей справедливости=, можно окрестить именем литературных каторжников.",в свое время,152,37,2,1,False,False
=По справедливости= он считался самым лучшим в Москве.,по справедливости,152,152,2,1,True,False
"Каким быть музею в городе, где полчища пришельцев с тракторами, бурильными установками и прочими инструментами технократической эпохи не только до неузнаваемости перевернули и изувечили землю древних хантов, но и, =по сути дела=, загнали в резервацию и почти что уже погубили этот маленький народ, оказавшийся на пути у беспощадного катка цивилизации?",по сути,153,152,2,2,False,False
"Понять ее можно — ведь я была, =по сути дела=, ее первой ученицей, которая вышла на сцену крупных театров.",по сути,153,152,2,2,False,False
"Тем удивительнее, что в Заключении комитета, приводимом в [5], упоминается лишь краткая статья [10], причем ее содержание, =по сути дела=, совершенно искажено (!)",по сути,153,152,2,2,False,False
"=По сути=, это — ключевой орган ООН, отвечающий за координацию деятельности системы Организации в экономической, природоохранной и социально-правовой сферах.",по сути,153,152,2,2,False,False
"Пугает, что в стране не нашлось ни одной группы педагогов или ученых, которые достаточно внятно сказали бы, что возражения =по существу= реформы — ахинея.",по существу,153,153,2,1,True,False
"Гурьев отвечал отрывисто, коротко и =по существу=.",по существу,153,153,2,1,True,False
"Программу концерта попросили составить из русских романсов, поскольку русскую музыку, а тем более камерную, здесь =по сути дела= совсем не знали.",по сути,153,152,2,2,False,False
"В рабочих материалах группы зафиксирован его тезис о необходимости интеграции в языки программирования средств взаимодействия с операционной средой; =по сути=, Лавровым была предложена концепция современных API.",по сути,153,152,2,2,False,False
"Так эта княжна живет во дворце? — спросила Мариула, и глаза ее необыкновенно заблистали, и румянец снова выступил на лицо. =Под бочком= у самой государыни. Государыня ее очень жалует.",под бочком,155,155,1,3,True,False
"Активные формы кислорода образуются прямо у нее =под боком=, а она от них ничем не отгорожена — у нее нет ни собственной оболочки, ни защитных белков, которые могли бы принять на себя удар.",под боком,155,155,1,2,True,False
"Там Безбородкин сад, Охта =под боком=. Нева в двух шагах.",в двух шагах,155,17,1,1,False,False
"У многоярусного железного фонтана, что недалеко от перекрестка Саят-Новы и Ханджяна или от Дома шахмат, считай как хочешь, собралось множество народу, были заняты не только все столики примостившегося =под самым боком=, почти в зоне, куда ветерок, если б он дул, неизбежно относил бы брызги, летнего кафе, люди сидели на скамейках и принесенных откуда-то стульях рядами, лицом к источнику влаги, окружив его со всех сторон, еще несколько десятков зевак толпилось за спинами сидевших, и все глядели неотрывно на игру струй, словно на некое невиданное феерическое зрелище.",дома,155,82,2,2,False,False
"Я уважаю врачей, которые меня лечили. Но не они, не они, черт возьми, =поставили меня на ноги=. На меня волшебно действует ваш советский воздух.",поставили меня на ноги,158,158,1,2,True,False
