example,found_phrase,true_index,pred_index,true_sense,pred_sense,correct_index,correct_sense
"В любой сказке — будь она хоть про невинную курочку и дурня-петушка — вставали =в полный рост= человеческие пороки и слабости, вершились преступления, случались крушения и катастрофы.",в полный рост,34,34,3,2,True,False
"Серега невольно стал дергаться, притопывать и глупо =во весь рот= улыбаться.",во весь рот,35,35,3,1,True,False
[Матюха:] Каких лошадей? А-а! Да одного старичка приставили. Деда Симаку. А к нему вдобавок Пашку Гыгу. Гогочет =во весь рот=: довольный. Жеребят в морду целует.,во весь рот,35,35,2,1,True,False
"А сегодня, входя в квартиру, Василий Васильевич, чем-то довольный, пел не через нос, как обычно, а =во весь рот=, даже со словами:",во весь рот,35,35,2,1,True,False
"Теперь =в самый раз= сгодилось бы послушать, ни за какой ценой не постояли 6, да кто ж знал, что так оно обернется, думалось ли кому о войне?",в самый раз,36,36,2,1,True,False
"Судя по петлицам, господа эти служили =в свое время= по Министерству народного просвещения.",в свое время,37,37,2,3,True,False
"Первая часть =в свое время= понравилась. Это было интересно, свежо, и возрастом я была помладше.",в свое время,37,37,1,3,True,False
"«В каждом допросе есть один главный вопрос», — приходила на память слышанная =в свое время= фраза.",в свое время,37,37,2,1,True,False
Такие или подобные оправдания могут быть у =всех без исключения=!,всех без исключения,38,38,2,1,True,False
"А Бах знал: животных не спасти — падут =все, до единого=.","все, до единого",39,39,2,1,True,False
"[Знахарка: ] Старая ты, а без пути. В ребенка нечистый вселился... В другого человека переселить нечистого надобно, в кого попроще. И указываю тебе я на дурочку Мавру, ей =все одно=...",все одно,41,41,1,2,True,False
"Если рядом есть человек, который помогает, и если есть внутренние силы, то =все равно=, в какой стране ты живешь.",все равно,42,42,1,2,True,False
"В течение ряда лет и даже десятилетий таскает такой тип в голове что-нибудь эдакое, лезет с ним к любому =встречному-поперечному=, рассказывает и пересказывает — над ним смеются, ему не верят, но после всех доделок, переделок и отсевов у него в конце концов складывается что-то действительно похожее на правду.",в конце концов,44,21,1,4,False,False
"И вообще странно все пока, они же, должно быть, дежурные на главных воротах, а значит, обязаны стоять у этих самых ворот в белых рубашках, в красных галстуках и каждому =встречному-поперечному= салют отдавать.",встречному-поперечному,44,44,1,2,True,False
"Но пистолет был именной... сдавая пистолет, Ромашов =выдал бы себя=.",выдал бы себя,46,46,4,1,True,False
Мамка служить больше не будет. Хватит ей =горб гнуть перед всякой сволочью=.,горб гнуть перед всякой сволочью,49,49,2,1,True,False
"Депутат от фракции КПРФ с удивительно детской обидой воспринял отказ думского спикера Любови Слиски =дать ему слово=: «Почему вы всем даете, а мне не даете?»",дать ему слово,52,52,1,4,True,False
"Поскольку =слово дали=, его надо держать твердо, а понапрасну болтать не след!",слово дали,52,52,2,4,True,False
"Потом =дали крюк=, чтобы показать Константину Павловичу маленькую, живописную, чем-то знаменитую улочку, выходившую на бульвар Сен-Жермен.",дали крюк,53,53,1,2,True,False
"Я говорю, что пуля пробьет пробку, стальную обшивку и доску. Давай =держать пари= — если пробьет, то ты поставишь шесть дюжин твоих устриц, три бутылки белого. Если не пробьет, плачу я.",держать пари,54,54,1,2,True,False
"А вот это и хорошо, что ждет его, да верит, что вернется; значит, настоящая любовь, =до гробовой доски=.",до гробовой доски,55,55,1,2,True,False
И Леонид Андреев =до конца ногтей= публицист.,до конца,56,55,1,2,False,False
"Обчистят вас когда-нибудь =до нитки=, товарищ дорогой.",до нитки,58,58,1,3,True,False
"Вынырнул он наконец, вылез из воды и стоит рядом со своим серым приятелем, весь промокший =до ниточки=.",до ниточки,58,58,3,1,True,False
О них рассказал сегодня утром =до нитки= обобранный пилигрим.,до нитки,58,58,1,3,True,False
"Страшные мы были: грязные, мокрые =до ниточки=, оборванные.",до ниточки,58,58,3,1,True,False
"Не все ведь этакие господа, как твой покойный папенька был, с тем, бывало, говоришь, словно со своим братом, — все =до последней нитки= по крестьянству знал.",до последней нитки,58,58,2,1,True,False
"Рубашка, была мокра =до последней ниточки=; казалось, все члены старика съеживались под ней как осенние листья, прохваченные морозом.",до последней ниточки,58,58,3,1,True,False
"Благодарю за воспоминание, за дружбы, за хвалу, за упреки, за формат этого письма — все показывает участие, которое принимает =живая душа= ваша во всем, что касается до меня.",живая душа,60,60,2,1,True,False
"Мы были для народов этих государств ( Уругвая, Перу, Эквадора и КостаРики) страной =за закрытыми дверями=.",за закрытыми дверями,61,61,1,2,True,False
"— Женить тебя и сдать имение с рук на руки, — тогда я спокойно =закрыла бы глаза=.",закрыла бы глаза,62,62,4,3,True,False
"Хотелось бы ей привести в дом хорошую невестку: пусть ходит за нею, и покоит ее последние дни, и =закроет ей глаза=.",закроет ей глаза,62,62,3,4,True,False
Солдаты и офицеры толпятся сзади. =За плечами коменданта= выстроились пожарные каски.,за плечами коменданта,64,64,4,2,True,False
"А ну, пошли, ребята! Все, хором. Надвигаем снегу в проломы. Притрамбуем — сойдет =за милую душу=.",за милую душу,64,64,2,1,True,False
"— Да что ты на них глядишь! Высек бы =за милую душу=! Ить они, проклятые, все у тебя постащут! Дед Ничей только усмехался на это...",за милую душу,64,64,3,4,True,False
"Он (Костя. — Авт.) два года шагал только таким образом и теперь был рад вспомнить, что можно ходить иначе: неровно, с бьющимся сердцем, с опасностью =за спиной= и неизвестностью впереди.",за спиной,65,65,1,4,True,False
"Ладно, Никаноров, — сказал майор тому, кто стоял =за спиной Чернышева=. — Разберись.",за спиной чернышева,65,65,5,3,True,False
"[Гайда:] Конечно, =за спиной= у Игната Петровича работать спокойнее...",за спиной,65,65,3,1,True,False
По зеленой улице проведу! А =зеленая улица= — это значило сквозь строй. До смерти забивали.,зеленая улица,66,66,1,2,True,False
"Чудо какой заботливый. И =руки золотые=, и душа брильянтовая. Нет, я из женщин счастливая.",руки золотые,67,67,1,2,True,False
"Парень он не дурак, =руки золотые=, рыло-то на беду погано.",руки золотые,67,67,1,2,True,False
"Я их спасаю, а сам с улыбкой на лице =иду ко дну=.",иду ко дну,68,68,1,2,True,False
Лисицын побежал по берегу =изо всех сил=.,изо всех сил,71,71,2,3,True,False
"Павлик даже не хмыкнул, только, будто разозлясь на кого-то, =изо всех сил= заорал: — Феня-а-а!",изо всех сил,71,71,3,2,True,False
"Рассмотрев основательно наружность, Франгейт начал наконец понимать, что выкрикивает этот человек таким бесподобно оглушительным петушиным голосом: — Почтенные люди, думающие, что я смеюсь над вами, сделайте серьезное лицо и берите =из первых рук= первый товар в мире.",из первых рук,75,75,2,1,True,False
"Да он =как аршин проглотит=, когда тебя нету.",как аршин проглотит,76,76,1,2,True,False
"Герцог Орлеанский дуется, герцог Немурский жмется, =точно аршин проглотил=, Морни сбежал, д'Альбон мне наговорил дерзостей: у него на другой день была дуэль с Лютероде.",точно аршин проглотил,76,76,1,2,True,False
"В Средиземном море, =как бельмо в глазу=, уже два года нахально расхаживает Сушон со своими «Гебеном» и «Бреслау».",как бельмо в глазу,77,77,2,1,True,False
"=Как будто во сне= это было, или как будто мы теперь живем во сне, не можем проснуться.",как будто во сне,78,78,1,2,True,False
"Проснулся среди ночи и увидел, что около двери кто-то стоит, но ему никого было не надо, и он затаился — опять закрыл глаза и задышал тихо и ровно, =как во сне=.",закрыл глаза,78,62,1,4,False,False
"Град небесный, в котором души наших предков живут, =как в раю=.",как в раю,79,79,1,2,True,False
"День выдался теплый и нежный, =как в раю=.",как в раю,79,79,1,2,True,False
"говорит он мне это все, а я =словно в тумане=.",словно в тумане,80,80,2,1,True,False
"Спектакль прошел для меня =словно в тумане=. Хорошо ли, плохо ли — не понял.",словно в тумане,80,80,2,1,True,False
"Эта новость была =как гром среди ясного неба=: я была так близка к цели, и вдруг всё сорвалось.",как гром среди ясного неба,81,81,1,2,True,False
"Чагин мне все объяснил, показал, что где, извинился, сказал: «Устраивайтесь. Будьте =как дома=. В холодильнике найдете что поесть».",как дома,82,82,1,2,True,False
"Он ухватил турку — пена все-таки пролилась, и если бы Майя была галлюцинацией, она бы испарилась в кофейных парах, но Майя только дружелюбно кивнула ему и продолжила уминать колбасу. =Как у себя дома=, подумал он. Меня, конечно, тревожит, что нет вестей от папы, — говорила она, прихлебывая кофе, — но ты знаешь, он и не из таких передряг выкарабкивался.",как у себя дома,82,82,1,2,True,False
"Сейчас он (хозяин. — Авт.) полу откинул, картуз заломил, =как есть= миллионщик...",как есть,83,83,1,3,True,False
"Лошадь настоящая. — =Как есть=, — сказал Никита.",как есть,83,83,3,1,True,False
"Я =как на иголках=. Последний день в Венеции, а ведь надо было рисовать, рисовать...",как на иголках,87,87,1,2,True,False
"Марья Ильинична сидела =как на иголках=; язык у нее так и свербел; наконец она не вытерпела и, обратясь к мужу, спросила его с кисленькой улыбкою, что находит он дурного в ассамблеях?",как на иголках,87,87,1,2,True,False
"Денег не возьмет, — авторитетно заявила та, — а вот кофу — =как пить дать=, хлещет ее целыми днями».",как пить дать,90,90,3,2,True,False
"Шмыгнуть бы от этого гордого буревестника, как Поприщин в подворотню, а Бащуцкий, все еще неотрывный от бедлама, прянул мыслью… к делу княгини Усатой — =как пить дать=, любил дед быструю езду.",как пить дать,90,90,1,2,True,False
"Разведчики обескураженно переглянулись: =как пить дать=, командир демаскирует наблюдательный пункт, черт его знает и побери, пьяный он, что ли!",как пить дать,90,90,3,1,True,False
"Лейтенанта надо похоронить =как полагается= и идти, нечего нам тут без толку киселя месить.",как полагается,91,91,2,3,True,False
"Максим ел не вилкой, =как положено=, а столовой ложкой, чтобы больше влезало.",как положено,91,91,1,3,True,False
"У синеглазого был настоящий большой письменный стол, =как полагается= у всякого порядочного русского писателя, заваленный рукописями, газетами, газетными вырезками и книгами, из которых торчали бумажные закладки.",как полагается,91,91,2,3,True,False
"Ибо без мамы ему не прожить, я даже защитить себя не могу, ножом ударить мне еще слабо, так что, хочешь не хочешь, я сижу тут и веду себя, =как полагается=».",как полагается,91,91,2,3,True,False
"А что, молодой герой, вижу, не зря вы на фронте время проводили, вижу по наградам, бились с врагом, =как и полагается= советскому воину.",как и полагается,91,91,3,2,True,False
"Одели магараджу, =как полагается= приехавшему в Европу, с чисто парикмахерским шиком: бордовые туфли, оранжевый галстук, огромные запонки, по жилетке — золотая цепочка.",как полагается,91,91,2,3,True,False
"[Лавр Мироныч:] Да закажи ужин заранее, чтоб не дожидаться, чтоб шло =как по маслу=, без антрактов.",как по маслу,92,92,2,1,True,False
"Увидев, что всё идёт =как по маслу=, Шараев достал из папки ещё одну бумагу.",как по маслу,92,92,1,2,True,False
"[Луков:] „На вот комбинезон. Не для тебя, конечно, берег... Нет, я в смысле размера: великоват тебе немного, но ничего, ушьешь — будет =как раз=.",как раз,93,93,1,3,True,False
"[Юлия:] Женись лишь только — и =как раз= Родятся ревность, подозренье.",как раз,93,93,2,3,True,False
=Как у Христа за пазухой= будешь жить.,как у христа за пазухой,97,97,1,2,True,False
"«Вон как у нас! — подумал Карамышев. — Нарочно ее унижает передо мной. Еще, мол, =вскружит девчонке голову=».",вскружит девчонке голову,98,98,3,2,True,False
"Он провел рукой по мокрому лицу. Ладонь оказалась в крови... Ранен!.. Нет, только не умирать! =К черту= отчаяние. Жить, и никаких гвоздей!",к черту,102,102,1,3,True,False
"Уже с неделю несло вьюгой, и на железных дорогах все спуталось, все расписания пошли =к черту=, на узловых станциях было полным полно.",к черту,102,102,2,3,True,False
"Я еще подумала: ну его =к черту=, пусть звонит, не до него, но в последний момент, на каком-то десятом гудке все-таки взяла трубку…",к черту,102,102,2,3,True,False
"Ей (Вере. — Авт.) предстояло стать =лицом к лицу= с бабушкой и сказать ей: «Вот чем я заплатила тебе за твою любовь, попечения, как наругалась над твоим доверием... до чего дошла своей волей!..»",лицом к лицу,103,103,3,2,True,False
Как говорится: =лицом к лицу= — лица не разглядеть.,лицом к лицу,103,103,2,1,True,False
"Они не знали и не догадывались, что для их соблазнителей благо Родины не существует, а существует лишь одна-единственная цель — дорваться =любой ценою= до власти, обогатиться за счет России.",любой ценою,104,104,1,2,True,False
Как бы =между делом=: «Есть тут одно средство.,между делом,105,105,3,2,True,False
"=Между делом= высыпал несколько предложений: продать полторы тысячи пар джинсов из расчета двадцати процентов комиссионных, от чего я отказался сразу; пойти к нему мастером в пошивочную, что я тоже отверг без раздумий; взяться вместо Огурцова за печать вот таких плакатов; последнее предложение завязло в объяснениях: «У вас лицо-то есть?» — торопливо спрашивал Огурцов, а я никак не мог взять в толк, о каком лице идет речь: оказалось в конце концов — о юридическом.",в конце концов,105,21,3,2,False,False
"Разговор =между прочим=, беседа ни очем и обо всем.",между прочим,106,106,1,3,True,False
"Оказалось, что Толя меня оценил сразу же, и когда я ушла из студии, то начал просто =икру метать=!",икру метать,107,107,3,1,True,False
"[Филарет:] Хвально будет так-то. Хвально. И крепость каменной будет, =на веки вечные= буде",на веки вечные,110,110,1,2,True,False
"В далекие времена льняную ткань продавали =на вес золота=, водружая на одну чашу весов ее увесистые тюки, на другую — массивные золотые слитки.",на вес золота,111,111,2,1,True,False
"Сотрудниц канцелярии =на всякий случай= подвергли медицинскому обследованию, которое дало успокаивающие результаты.",на всякий случай,114,114,1,2,True,False
"— Тут ресторан, там ресторан... — Они там =на каждом шагу=.",на каждом шагу,115,115,1,2,True,False
"Успех ему (Пшенкину. — Авт.) начал сопутствовать с первого шага: и Троицын был, как говорится, =на месте=, и тот влиятельный челове! который вызвался встречу устроить.",на месте,116,116,1,3,True,False
"Получилась =на удивление= красивая выставка — с часословами от мастеров «куртуазного стиля», с бархатным подризником со сценами из жизни Девы Марии (ему почти 500 лет) и готическими распятиями из слоновой кости.",на удивление,117,117,1,2,True,False
"Отличительные признаки нового преступного деяния =на диво= просты: пропаганда или реклама наркотиков — это «распространение изображений и (или) названий (в том числе на иностранных языках) наркотических средств, психотропных веществ или их прекурсоров, наркосодержащих растений или их частей» — ну и так далее.",на диво,117,117,1,2,True,False
"[Забродин:] Вот если бы ты читал, к примеру, Ленина не в порядке подготовки к семинару, а так, для себя, для души, то встретил бы у него такое: «Скептицизм прикрывает обычно отсутствие серьезного размышления о предмете». Сказано =не в бровь, а прямо в глаз= ведь, а?",в порядке,119,31,2,1,False,False
"Они совсем не знали меры и не соображали — пилось радостно и легко, и Колюня набрался до такой степени, что после полуночи два его новых деревенских дружка, Витька и Соловей, с которыми еще совсем недавно они дрались =не на жизнь, а на смерть=, под руки приволокли прошедшего частичную инициацию дачника домой, и несмотря на состояние души и тела долгая дорога эта через спящую деревню, умывание под ледяными струями колодца, восторженные выкрики, качающиеся звезды, августовская ночная чернота и странное ощущение освобождения и первой не детской, но мужской дружбы и выручки — все это запало в память и удерживалось в ней долго-долго.","не на жизнь, а на смерть",123,123,1,2,True,False
"Прикиньте, как круто: не одна какая-нибудь накладная болячка или там =ни к селу ни к городу= протез, а полный труп!",ни к селу ни к городу,126,126,1,2,True,False
"Я все знаю. По географии училась =ничего себе=, а по истории — плохо. И вклассе была невнимательна.",ничего себе,128,128,2,1,True,False
"=Ничего себе=, подумал Скварыш, учитель, а бегает в КГБ.",ничего себе,128,128,3,1,True,False
"[Нина:] Глаза у тебя ничего. В школе говорят, что ты их подкрашиваешь. Это вранье! И ресницы =ничего себе=. И не большеротая.",ничего себе,128,128,1,2,True,False
"«Годы, — решил он (Матвей. — Авт.) и =от всего сердца= пожалел ее, — Укатали сивку крутые горки».",от всего сердца,132,132,2,1,True,False
"Моя жена готовит вкусно, прямо =пальчики оближешь=.",пальчики оближешь,136,136,3,2,True,False
"Эх, ребята, — сказал он. Я тут в одном месте обнаружил такую машину — =пальцы оближешь=.",пальцы оближешь,136,136,2,1,True,False
"Это Егорка — плут =первой руки=, все говорят: от него все станется.",первой руки,137,137,2,1,True,False
Боб даже немного удивлялся себе: что это вдруг разговорился с =первым встречным=?,первым встречным,138,138,2,1,True,False
"Наверное, тебя заставляют служить Кибеле с низшей ступени, отдаваться =первому попавшемуся=...",первому попавшемуся,139,139,2,1,True,False
"Тогда нанимается в приходе Старого Пимена прекрасный двухэтажный дом, мебель Гамбса, отличные обеды, вина и сигары =первого сорта=.",первого сорта,140,140,1,2,True,False
"Таким образом, витаминно-минеральная база в муке =высшего сорта= сохраняется лишь на 30 %.",высшего сорта,141,140,1,2,False,False
"На потребительском рынке Новгородской области в марте хлебобулочные изделия из пшеничной муки =высшего сорта=, сыры плавленые, хлеб ржано-пшеничный стали дороже на 1,2–2,1 %, хлебобулочные изделия из пшеничной муки 1 и 2 сортов, кисломолочные продукты, творог нежирный, молоко питьевое цельное стерилизованное, масло сливочное — на 0,2–0,7 %.",высшего сорта,141,140,1,2,False,False
"Сорок лет будет ему (Тригорину. — Авт.) еще не скоро, но он уже знаменит и сыт =по горло=...",по горло,143,143,1,2,True,False
"Это просто шкурники, слякоть! Мы заранее были уверены, что полиция =хвост подожмет=.",хвост подожмет,144,144,1,2,True,False
Все это ложь.» — говорил я себе =по дороге= домой. «,по дороге,145,145,2,1,True,False
"Григорий гнал сомнение... просто Дарьюшка простыла, перепугалась =по дороге= к дому Ефимии.",по дороге,145,145,3,2,True,False
=По пути= на кладбище к похоронной процессии присоединились рабочие фабрик и заводов.,по пути,145,145,3,1,True,False
"Немцы приходили на кладбище целыми ротами под командой офицеров, а при этой публике не разойдешься. А поговорить нам =по душе= очень хотелось.",по душе,146,146,2,1,True,False
"Ее покойная мать сама одевалась всегда =по последней моде= и всегда возилась с Аней и одевала ее изящно, как куклу...",по последней моде,148,148,2,1,True,False
"Жуть, между прочим: вторую неделю пытаемся найти пару качественных дамских кроссовок «не =по моде=» — то бишь не белых, не розовых и с простроченным, а не приклеенным носком.",между прочим,148,106,1,3,False,False
"=По обыкновению= большинства папаш, он вошел к учителю арифметики без доклада.",по обыкновению,149,149,2,3,True,False
"Книга «Каннские хроники» — это сборник бесед, которые видные отечественные кинокритики (Андрей Плахов, Лев Карахан и Даниил Дондурей) в течение ряда лет (2006–2016) ежегодно вели в редакции журнала «Искусство кино» =по горячим следам= Каннских кинофестивалей.",по горячим следам,150,150,2,1,True,False
"К шестой Спартакиаде подготовка началась сразу же, «без разведки», =по горячим следам= пятой Спартакиады.",по горячим следам,150,150,2,1,True,False
"[Воевода:] И мы =по силе=, по мочи поможем.",по силе,151,151,2,1,True,False
А дело просто — я не могу ехать сейчас =по силе= взятых на себя обязательств и непременно поеду в феврале.,по силе,151,151,3,2,True,False
"Однако у вас в лицее, как я вижу, свободный вход и выход? — Это =по случаю= каникул.",по случаю,151,151,3,2,True,False
"Но зато я существую, да, я словом своим =по силам= своим жизнь изменяю, творю, — значит, я существую.",по силам,151,151,2,1,True,False
Жизнь аккуратненько расставила все по своим местам и воздала всем =по справедливости=.,по справедливости,152,152,1,2,True,False
"— Очень хорошо. =По сущей ли справедливости= вы говорите это? — прерывает председатель поток моего красноречия. — Не токмо по сущей справедливости, но так точно, как бы мне в том... — Достаточно, не трудитесь продолжать.",по сущей ли справедливости,152,152,1,2,True,False
С пани Гролинской приходилось говорить по-другому: предыдущая конспирация исключала разговор =по существу=.,по существу,153,153,1,2,True,False
"Дело в том, что человек, к которому мы притягиваемся, =по сути=, производная от нас самих. На этом и основано мое построение портрета. А куда деться от самого себя? Комс. правда, 10.03.2000. И там, где распадок сужался до предела, становился, по сути, ущельем, в тени высоких елей показалась бревенчатая избушка.",по сути,153,152,3,2,False,False
"Шмель, улегшийся =под боком= Димки, поднял голову, насторожил уши и заворчал предостерегающе и сердито.",под боком,155,155,3,2,True,False
"Однако, все эти мнения помогли узнать одну вещь — нет настоящего хозяина на этой земле, который бы заботился о людях, которые на ней живут и работают. Нет слаженности в работе, никто не знает, что творится =под боком= соседа.",под боком,155,155,3,1,True,False
"Вода там славная, огороды вырежу из новины, земли твои тоже там, =под боком=, вырежу.",под боком,155,155,2,1,True,False
"Но рядом с родителями не значит в одной постели. =Под бочком= у матери очень опасно. Есть такое страшное выражение «приспать ребенка» — во сне нечаянно придавить, затруднить ему возможность дышать…",под бочком,155,155,2,3,True,False
Уже после полудня Бах проснулся и обнаружил =под боком= маленький теплый комок.,под боком,155,155,1,2,True,False
"Дед Фишка, побледневший, худой, осунувшийся, нетвердо подошел к столу и, волнуясь, проговорил: — Шесть недель лежал я в подполье на хуторе у ломовицкого мужика Терентия Золотова, =под самым носом= у белых.",под самым носом,157,157,3,2,True,False
Елизар Елизарович мчался в распахнутом пальто. Он шкуру спустит с доктора. Он всех жандармов =поднимет на ноги=.,поднимет на ноги,158,158,3,2,True,False
"«Кому нужна гордыня? Она лишь до погоста доведет, а кто детву =подымет на ноги=? Дуняшке одной не сдюжить, — решил мужик, входя в землянку.",подымет на ноги,158,158,2,3,True,False
"Думаешь, я забыл? Поговорили — и ладно? А я всех военпредов =на ноги поставил=, все телефоны оборвал за эти дни.",на ноги поставил,158,158,3,2,True,False
"Петр не понимал, как можно так об Анфисе Петровне говорить...Сердце закипело — =на кого руку подняли=!",на кого руку подняли,159,159,3,1,True,False
"А =под рукою= не что-нибудь, а боевая граната.",под рукою,161,161,4,1,True,False
"Вечером горничная =под рукою= передала мне записку от дочки; писанная по-французски, она содержала признания в страшной любви; в ожидании ответа к записке прилагались разрозненные тома татищевского лексикона.",под рукою,161,161,3,2,True,False
"На верстаке и стеллажах непорядок: нужный инструмент должен лежать =под рукой=, чтоб не терять времени на его поиски.",под рукой,161,161,2,1,True,False
"Он (Федька. — Авт.) изливал скопившуюся ярость на всех, кто находился рядом, =под рукой=.",под рукой,161,161,2,3,True,False
"И надо было дождаться срока, когда, как =под рукою= настройщика, натягивается дрожащая струнка и вдруг пробивается верный звук.",под рукою,161,161,4,1,True,False
"Ему (Голядкину. — Авт.) пришло было на мысль как-нибудь, этак =под рукой=, бочком, втихомолку улизнуть от греха, этак взять да и стушеваться.",под рукой,161,161,3,4,True,False
"Валентина написала ему, что не может справиться с Варькой — дерзка, грубит, не слушается, надо =прибрать девчонку к рукам=.",прибрать девчонку к рукам,164,164,1,2,True,False
"Ну-с, получите остальное и =приложите ручку=, — сказал Илья Евдокимыч, макая перо в чернила...",приложите ручку,165,165,4,1,True,False
"Он помолчал немного, строго посмотрел на Волгина и продолжал: «К сей отпускной действительный тайный советник и кавалер граф Семен Воронцов =руку приложил=».",руку приложил,165,165,4,1,True,False
