row,example,true_index,pred_index,index_correct,true_sense,pred_sense,sense_correct,true_meaning,pred_meaning,meaning_correct,all_correct
247,"Император был изображен =в полный рост=, без фуражки, со свитком-манифестом в правой руке и державой — в левой.",34,34.0,True,1,2.0,False,"1 охватывающий всю фигуру, весь предмет; 2 полно отражающий характер, внутренний мир человека","выпрямившись, вытянувшись, не сгибаясь, очень прямо, полностью, целиком",False,False
250,"Ваня часто дышал и широко, =во весь рот= улыбался.",35,35.0,True,3,1.0,False,"приветливо, ‘радостно, широко, открыто","широкий, открытый",False,False
255,"Сколько лет, сколько зим! — патетически, едва ли не шепотом сказал он, улыбаясь =во весь рот=.",35,35.0,True,1,3.0,False,"широкий, открытый","приветливо, ‘радостно, широко, открыто",False,False
265,"Все придет =в свое время=, только не торопись.",37,37.0,True,3,2.0,False,обязательно вовремя в будущем,"раньше, некогда, прежде, когда-то в прошлом",False,False
284,"[Брусенков:] =Все и каждый= прислонилися к власти, схватились за нее!",40,40.0,True,2,1.0,False,все,"любой, всякий",False,False
289,"Как! но они =все едино= Евангельскаго закона обязательство на себя приняли; все веруют будущему суду; =все единыя= матери чада: так возможно ли, чтоб столь различными шествовали дорогами? разве не слышат они, что в самых сих храмах, храмах, для собрания их созданных, Бог вопиет: Ежели я Господь, то где раби мои? ежели я Отец, то где дети мои?",41,41.0,True,2,1.0,False,"обязательно, непременно","одинаково, безразлично",False,False
292,"Они не были изданы при жизни Лермонтова, но поэт =все равно= мог их знать — в рукописи фольклориста Петра Киреевского.",42,42.0,True,2,1.0,False,"тем не менее, все-таки","одинаков(-ый), безразличен(-ый), несуществен(-ый)",False,False
295,"Но сегодня можно валяться хоть до вечера, =все равно= спешить некуда, сегодня у Нины выходной день.",42,42.0,True,3,1.0,False,"потому что, так как","одинаков(-ый), безразличен(-ый), несуществен(-ый)",False,False
297,"Открытые же места обстреливались редким огнем, но каждую минуту, =в случае появления= противника, русская артиллерия готова была перейти на сильную беглую стрельбу.",43,43.0,True,1,2.0,False,"1 из-за, вследствие, по причине; 2 при","если, при условии",False,False
313,"Невеста часто-часто моргает черными накрашенными ресницами и хмурит лоб, пытаясь понять, к чему ведет этот странный человек, =выдавший себя= почему-то за ее родственника, и кажется ей, что от самозванца ничего хорошего ждать не приходится.",46,,False,1,,False,представить себя в качестве дру20го лица,none,False,False
317,"Я занимаюсь самообразованием и напрягаю свой мозг. =Вытянусь в ниточку=, а своего добьюсь.",47,47.0,True,3,2.0,False,"проявить усердие, старание","стать ровно прямо, навытяжку",False,False
323,"Он (Тоболяк. — Авт.) там, может быть, спит, прохлаждается, а Петровичу здесь =спину гнуть= да руки морозить.",49,49.0,True,1,2.0,False,трудиться до изнеможения,"унижаться, заискивать, раболепствовать",False,False
324,"Вот и коровки у меня нету. Чужое молочко-то кусается. За него, поди-кось, =горб гнуть= заставляют, — печально усмехнулась Марфушка.",49,,False,1,,False,трудиться до изнеможения,none,False,False
326,"=Волю рукам даю=, виноват, но тебе же это нравится!",50,,False,2,,False,"обнимать, хватать",none,False,False
330,"Какие-то там «рихтгофены», говорят прилетели. Вот бы встретиться. Эх, и =дали бы мы чесу= этим самым «рихтгофенам»! — ораторствовал Петров.",51,,False,2,,False,"1 «наказывать, жестоко обходиться с кем-либо; 2 в грубой форме, в резких выражениях отчитать, отругать кого-либо",none,False,False
331,"А тот, что в машине, услыхал — стреляют, такого =ходу дал=, в минуту не стало.",51,,False,1,,False,"поспешно убегать удирать, обычно спасаясь отопасности, преследования",none,False,False
332,"Кинулся я к окну — темно! Ничего не видать. А гул стоит, свист — вроде светопреставление началось. Сапогов своих я не нашел, вскочил в какие-то катанки — и =давай деру=!",51,,False,1,,False,"поспешно убегать удирать, обычно спасаясь отопасности, преследования",none,False,False
334,"На другой день мы злились один на другого, не разговаривая шли в концертный зал, каждый раз =давая себе слово= никогда больше не играть друг с другом, выходили на сцену...",52,52.0,True,2,4.0,False,клятвенно уверять кого-либо в чем-либо обещать,выражение уверения в истинности высказывания,False,False
339,"Потому мы, очевидно, =дали крюк=; но в общем часа за два с половиной мы прошли до своего Мангуша.",53,53.0,True,2,1.0,False,пройти или проехать лишнее расстояние,допустить ошибку,False,False
345,"Готов =пари держать=, что г. Потебня будет неприятно удивлен, узнавши, что его гипотеза, мельком проскользнувшая в его сочинение, подала повод к положительному, но столь превратному выводу.",54,54.0,True,1,2.0,False,спорить с обязательством оплатить проигрыш,"выражение модального значения уверения в чем-либо; ручаюсь, совершенно уверен",False,False
355,"Ясно.  Верен =до гроба=. Потом все стали вспоминать бой под Ржевом, последний перед выходом в резерв, когда семь истребителей столкнулись с большой группой «юнкерсов», шедших на бомбежку в сопровождении «мессеров».",55,55.0,True,2,1.0,False,"навсегда, навечно, обязательно, неизменно",вечный,False,False
357,"Желтый нарцисс — к измене, красная роза — к страстной любви, незабудка — верность =до гроба=…",55,55.0,True,1,2.0,False,вечный,"навсегда, навечно, обязательно, неизменно",False,False
372,"Что сказать о хозяине особняка? Это был один из самых богатых людей в России, предприниматель =до мозга костей=...",57,57.0,True,1,2.0,False,"природный, настоящий, истинный","1 совершенно, полностью, основательно; 2 очень сильно",False,False
373,* * * Либерал =до мозга костей=. На него нападали политические оппоненты из радикалов.,57,57.0,True,1,2.0,False,"природный, настоящий, истинный","1 совершенно, полностью, основательно; 2 очень сильно",False,False
374,"[Карпов:] Это такая фигура, брат... Он же прошел школу дипломата. Еще во Франции вступил в социалистическую партию. Коммунист =до мозга костей=.",57,57.0,True,1,2.0,False,"природный, настоящий, истинный","1 совершенно, полностью, основательно; 2 очень сильно",False,False
375,"С одной стороны, он — русский человек =до мозга костей= — не был способен к размеренному, распределенному на порции труду — по столько-то страниц в день, как это делал, например, Золя, а с другой стороны, когда внешние обстоятельства и личное настроение складывались гармонически, он был способен работать запоем.",57,57.0,True,1,2.0,False,"природный, настоящий, истинный","1 совершенно, полностью, основательно; 2 очень сильно",False,False
376,"Плотно прижавшись друг к другу сутулыми спинами, пленники, к ночи продрогнув =до мозга костей=, стали ждать с нетерпением раннего утра.",57,57.0,True,2,1.0,False,"1 совершенно, полностью, основательно; 2 очень сильно","природный, настоящий, истинный",False,False
419,=За кулисами событий= стояли серьезные люди.,63,63.0,True,3,1.0,False,"употребляется при указании на объект, прикрываясь которым совершаются какие-либо неблаговидные действия, поступки","1 тайно, скрытно, негласно, вне официальной обстановки; 2 незаметно, на заднем плане",False,False
425,"Уничтожили =за милую душу= всех, кто ждал решения своей судьбы в тюремных камерах на Соловках.",64,64.0,True,3,1.0,False,безжалостно,"с удовольствием, желанием, очень охотно",False,False
428,"Жмет! — возвестил Догайло торжествующим фальцетом. — «Агамали» идет. Обгонит он нас к вечеру, браты, =за милую душу=!",64,64.0,True,2,1.0,False,"обязательно, непременно, вне всякого сомнения","с удовольствием, желанием, очень охотно",False,False
432,"[Тайда:] Только другие =за спиной= говорят, а Надежда Викентьевна напрямик высказалась.",65,65.0,True,2,4.0,False,"скрытно, тайно, секретно","позади, рядом, в непосредственной близости от кого-либо",False,False
442,"Так же, =за спиной= и без ведома Людки, Ирина отнесла остальные деньги в банк «МММ».",65,65.0,True,2,4.0,False,"скрытно, тайно, секретно","позади, рядом, в непосредственной близости от кого-либо",False,False
448,"И если договоримся, то, конечно?.. =Зеленая улица=, — заверил Гуревич. И, боясь, что уверенность эта будет неправильно истолкована мнительным Второвым, поспешно открестился: — Сам понимаешь, это не мой уровень.",66,66.0,True,2,1.0,False,"благоприятные условия для осуществления развития когочего-либо, благоприятная обстановка",наказание солдат шпиирутенами,False,False
457,"Дедушка вдруг почему-то очень обрадовался и сказал: — Сестрица дорогая, =у вас золотые руки=.",67,67.0,True,2,1.0,False,"способен сделать, смастерить все, за что ни возьмется","мастер своего дела; человек, очень искусный в своем деле",False,False
471,"Я подготовила публикацию для «Литературки» и позвонила Иосифу Александровичу в Америку, чтобы получить его комментарий, что называется, =из первых рук=.",75,75.0,True,1,2.0,False,"достоверный, подлинный","непосредственно, прямо",False,False
491,"Дался вам этот совхоз, — задираясь, опять начала Клавка. Прямо =как бельмо на глазу=. А начни вас завтра сгонять с совхоза — опомнитесь, не то запоете.",77,77.0,True,1,2.0,False,"надоедливый, раздражающий","надоедливо, раздражающе",False,False
501,"Свобода, любовь, нежность вдруг будто уходят от нее, и даже не подкашиваются, а отбираются, а она =точно во сне=:  «Как же так?",78,78.0,True,2,1.0,False,"отрешенно, неясно, неотчетлив0","отрешенный, неясно мыслящий",False,False
507,=Как в раю= с нею жил!,79,79.0,True,2,1.0,False,"замечательно, счастливо","доволен, счастлив",False,False
509,"Нужды не чувствовалось; дрова и главные предметы продовольствия были некупленные, а на покупное почти совсем запроса не существовало. Домочадцы говорили:  «=Точно в раю= живем!»  Сама Марья Сергеевна тоже забыла, что существует на свете иная жизнь (она мельком видела ее из окон института, в котором воспитывалась).",79,79.0,True,1,2.0,False,"доволен, счастлив","замечательно, счастливо",False,False
516,"В кресле сидишь, =как в раю=.",79,79.0,True,2,1.0,False,"замечательно, счастливо","доволен, счастлив",False,False
519,"Я думал, что уже кожа слезает с лица, а тут еще от близкого огня глаза начали слезиться, я, =точно в тумане=, видел перед собой падающую вниз струю и едва удерживался на ногах.",80,80.0,True,1,2.0,False,"отрешенный(-о), неясный(-о)","отрешенно, неясно",False,False
521,"И еще помнила, =словно в тумане=, удивительную девочку Агнес, совершенно невероятной артистической выправки, изысканную — и вот ее мама ведет нас ранним утром шестьдесят пять лет назад в дорогой, невероятно изысканный универмаг на Ляйпцигштрассе, туда, где жены дипломатов покупают шелковое белье, швейцар открывает перед нами двери, и Таня, обыкновенная советская девочка, теряется, а Агнес (боже мой, так вы говорите, она была младше меня на четыре года?",80,80.0,True,1,2.0,False,"отрешенный(-о), неясный(-о)","отрешенно, неясно",False,False
522,"Всё сначала будет =словно в тумане=, потом туман рассеется, я стану видеть слушателей, потом начну различать их лица, потом следить за реакцией зрительного зала, регулируя свою интонацию, переставляя куски лекций, чередуя лирические и драматические эпизоды.",80,80.0,True,2,1.0,False,"отрешенно, неясно","отрешенный(-о), неясный(-о)",False,False
527,"Оказавшись на природе, в деревне, Антон несколько дней передвигался =словно в тумане=, привыкая.",80,80.0,True,2,1.0,False,"отрешенно, неясно","отрешенный(-о), неясный(-о)",False,False
528,"Голос Нины теперь был то справа, то слева, все было =как будто в тумане=, хотя и при хорошей видимости, единственно что ограниченной деревьями.",80,80.0,True,1,2.0,False,"отрешенный(-о), неясный(-о)","отрешенно, неясно",False,False
529,"Это было =как гром среди ясного неба= — человек только неделю назад сидел в тюрьме, прощался с жизнью, вдруг его вызывают, предлагают быть художественным руководителем у молодых режиссеров, чтобы получать какую-то зарплату…",81,81.0,True,1,2.0,False,"неожиданный, внезапный + неприятный, удивительный","неожиданно, внезапно + неприятно, удивительно",False,False
535,"Лихие гости, чувствующие себя на любом дворе =как у себя дома=; без спросу забирающие у хозяев последние съестные припасы и — самое ценное — тщательно отобранное и бережно хранимое посевное зерно для будущей весны; без секунды промедления готовые ударить, уколоть штыком, выстрелить в того, кто встанет на пути.",82,82.0,True,1,2.0,False,"свободен, непринужден","свободно, непринужденно",False,False
541,"Вчера к вам приехала, а веду себя =как дома=, ничего не боюсь, говорю, что хочу.",82,82.0,True,2,1.0,False,"свободно, непринужденно","свободен, непринужден",False,False
544,"Бойцы сделали ей (Оле. — Авт.) из соснового лапника шалаш, и девушка устроилась =как дома=. Смастерила из веток постель.",82,82.0,True,2,1.0,False,"свободно, непринужденно","свободен, непринужден",False,False
546,"«Она злая, злая! Я ее ненавижу», — подумала Дарьюшка, вспомнив, как Верочка Метелина, сестра Прасковьи, говорила про старшую сестру, что она всех =как есть= ненавидит.",83,83.0,True,2,1.0,False,"1 точно, бесспорно; 2 совсем, абсолютно","настоящий, подлинный",False,False
557,"— Алексей Сергеич! — сказала она (Маруся. — Авт.) своим совсем не изменившимся, звонким голосом. — =Какими судьбами=?",84,84.0,True,3,1.0,False,"выражение радости, удивления при встрече","каким образом, по какому случаю, зачем, почему",False,False
563,"Иона ерзает на козлах, =как на иголках=, тыкает в стороны локтями и водит глазами, как угорелый, словно не понимает, где он и зачем он здесь.",87,87.0,True,2,1.0,False,"беспокойно, взволнованно","беспокоен, взволнован",False,False
567,"[Гульков:] «Вовремя, вовремя я тут! Танки, вон они, а главное — автоматчики =как на ладони=! Давай, жми на спусковой крючок, секи их!.»",88,88.0,True,1,2.0,False,"отчетлив, виден, открыт","очень ясно, отчетливо, четко",False,False
569,Галиев отвернул влево. Михаил проводил его взглядом и поднял к глазам бинокль. Высота в квадрате «Ю» сразу стала видна =как на ладони=.,88,88.0,True,2,1.0,False,"очень ясно, отчетливо, четко","отчетлив, виден, открыт",False,False
574,"Вишь, она отсюда, =словно на ладошке=, вся видна!",88,88.0,True,1,2.0,False,"отчетлив, виден, открыт","очень ясно, отчетливо, четко",False,False
576,"Хысь, сам посуди, где мы сейчас этот магазинчик будем искать? Собак только разбудим, — сказал я. — Мы же =как пить дать= попадемся.",90,90.0,True,2,1.0,False,"непременно, точно, бесспорно","очевидный(-ен, -а, -о), не вызывающий сомнения",False,False
584,"А мышей он научился ловить еще в детстве, когда они забредали в нашу квартиру через вентиляцию (и это были вовсе не декоративные мыши, с которыми Том поступал, =как и положено= хищнику).",91,91.0,True,3,1.0,False,"выражение обычности, привычности поведения, поступков","1 «общепринятый, привычный, наиболее распространенный; 2 хороший, нормальный",False,False
594,"Наша квартира достаточно велика, чтобы при желании в ней не сталкиваться, ну и сортир, =как положено= — при каждой спальне.",91,91.0,True,1,2.0,False,"1 «общепринятый, привычный, наиболее распространенный; 2 хороший, нормальный","1 как принято, привычно; 2 хорошо, нормально",False,False
596,"Все у нас шло =как по маслу=: отцы нас сосватали, мы очень скоро полюбились друг другу и вступили в брак не мешкая.",92,92.0,True,2,1.0,False,"успешно, хорошо","без затруднений, успешный",False,False
597,"Она поначалу запнулась как будто о плотную пленку, а потом =как по маслу=…",92,92.0,True,1,2.0,False,"без затруднений, успешный","успешно, хорошо",False,False
600,"И порешили Котофей с Чучелом: опять идти Зайке к подземелью и проделать все, что в первый раз делала, и тогда все пойдет =как по маслу=, — будет и черная шкатулка, будут бисерные кошельки, будет и золото не простое, а серебряное.",92,92.0,True,2,1.0,False,"успешно, хорошо","без затруднений, успешный",False,False
628,"Лиза с первого же дня страстно влюбилась в князя, и князь ес полюбил — отчасти от нечего делать, отчасти от привычки =кружить женщинам голову=.",98,15.0,False,3,1.0,False,"увлекать / увлечь, влюблять / влюбить в себя",очень громко,False,False
630,"Военные успехи =вскружили Гитлеру голову=, он возомнил, что все может, что весь мир у него в кармане, и просчитался.",98,,False,2,,False,"лишать / лишить способности здраво рассуждать, трезво оценивать обстановку",none,False,False
631,"=К услугам приборостроителей= — диетическая столовая, различные медицинские кабинеты, целебные ванны.",101,,False,2,,False,"употребляется при указании на объект, для которого что-либо предназначается",none,False,False
642,Пусть лучше убираются =ко всем чертям= все эти либерально-пацифистские философы с их «сочувствием» к СССР.,102,102.0,True,3,1.0,False,"выражение гнева, досады, раздражения, несогласия","незачем, лишнее, долой",False,False
651,"Разумеется, и это играет свою роль (и к этому я вернусь), но самая сущность молитвы — это наша устремленность к Богу, устремленность к тому, чтобы встретить Его =лицом к лицу=.",103,103.0,True,3,1.0,False,"один против другого, открыто противостоя",близкий,False,False
664,"=Между прочим=, у многих народов Азии и особенно Африки циновка — это единственный предмет обстановки их традиционных хижин.",106,106.0,True,3,1.0,False,кстати,"попутный, неосновной, непреднамеренный",False,False
668,"=Между прочим=, верно говорят, нужно 2 курса продержаться «вначале ты работаешь на зачетку, а потом она на тебя».",106,106.0,True,3,2.0,False,кстати,"попутно, мимоходом, не уделяя особого внимания",False,False
673,"Потом самец выкидывает комочек спермы, самка подбирает его клоакой и оплодотворяется. Затем =мечет икру=. Ничего особенного, кроме того факта, что размножаются половозрелые дети.",107,107.0,True,1,3.0,False,рвать,"сердиться, браниться, шумно возмущаться",False,False
675,"Балансировать экономику =мыльного пузыря= — значит делать согражданам очень больно, куда там твои антинародные реформы Гайдара.",108,,False,2,,False,"1 реальное или мнимое отсутствие положительных предпосылок для возникновения, развития чего-либо, 2 отсутствие убедительных аргументов в мыслях, позициях кого-либо",none,False,False
677,"Я (Войницкий. — Авт.) гордился им и его наукой, я жил, я дышал им! И теперь виден весь итог его жизни: после него не останется ни одной страницы труда, он совершенно не известен, он ничто! =Мыльный пузырь=!",108,108.0,True,1,2.0,False,"человек, которого не принимают в расчет, ниитожный, ничего не значащий, ничего собой не представляющий","1 реальное или мнимое отсутствие положительных предпосылок для возникновения, развития чего-либо, 2 отсутствие убедительных аргументов в мыслях, позициях кого-либо",False,False
696,А потом я испугался: «А вдруг это (жажда вранья. — Авт.) у нее укоренится =на всю жизнь=?»,112,112.0,True,2,1.0,False,"навсегда, навечно",1 вечный; 2 постоянный,False,False
704,"Американская =на все 100%= журналистка Дороти Стивенс, не имея сил примириться с жестокой правдой, кончает жизнь самоубийством...",113,113.0,True,1,2.0,False,"1 «весь, полный», 2 «совершенный, идеальный»","1 «полностью, совершенно», 2 «обязательно, несомненно»",False,False
707,"Пока их у меня нет. Но =на всякий случай= сгодится. Уже в самолете, когда со мной рядом оказался французский кларнетист Мишель Летьек, артистический директор Фестиваля имени Пабло Казальса, я вспомнила слова Бориса Мездрича о Новосибирске как о музыкальном холдинге.",114,114.0,True,1,2.0,False,запасной,в предвидении необходимости,False,False
727,"| Глеб:] По чертежным стандартам все верно, все правила черчения соблюдены, все размеры =на месте=.",116,116.0,True,1,3.0,False,"соответственный по своим качествам, подходящий","за, в поддержку",False,False
729,"Водка-с! — ухмыляясь, спокойно говорил Порфирыч. — Водка, она ничуть ничего в этом деле... Она дана человеку =на пользу=... Потому она имеет в себе лекарственное...",116,116.0,True,2,3.0,False,"для положительного воздействия, для достижения хороших результатов, во благо","за, в поддержку",False,False
747,"Причем видно, что буржуазия ведет здесь войну =не на жизнь, а на смерть= с высококалорийным питанием — каждый свободный клочок травки оккупирован группой джентльменов, отжимающихся от земли с помощью фирменных стальных скобок; представить себе среди них спортивного Ленина не стоит ровным счетом ничего.",123,123.0,True,1,2.0,False,"решительный, самоотверженный; 2 ожесточенный, жестокий","1 решительно, самоотверженно, 2 ожесточенно, жестоко",False,False
748,"Молнии ослепительно сверкали, сопровождаемые громом, точно над городом в схватке =не на живот, а на смерть= сошлись две армии, открыв артиллерийскую перестрелку.",123,123.0,True,1,2.0,False,"решительный, самоотверженный; 2 ожесточенный, жестокий","1 решительно, самоотверженно, 2 ожесточенно, жестоко",False,False
753,Архаизм «коий» — =ни к селу ни к городу=.,126,126.0,True,1,2.0,False,"«неуместный(-ен, -а, -о, -ы)","некстати, неуместно, невпопад",False,False
754,"Так выглядит барельеф, украшающий часовую башню Молар, что торчит, =ни к селу ни к городу=, всего в паре сотен метров от места, где Рона вытекает из Женевского озера: средневекового вида, с аркой и черепичной крышей, украшенная гербами главных персонажей Реформации, она не столько украшает город, сколько удостоверяет его «старинный» статус.",126,126.0,True,2,1.0,False,"некстати, неуместно, невпопад","«неуместный(-ен, -а, -о, -ы)",False,False
760,"«=Ничего себе=, — осудила Колино легкомыслие хозяйственная супруга, — этак прошвыряеиться».",128,128.0,True,3,2.0,False,"выражение возмущения, негодования, несогласия, удивления","неплохо, сносно",False,False
761,"Если =ничего себе= парень, то Анечка не пропадет и своего не упустит.",128,128.0,True,1,3.0,False,"хороший, неплохой","выражение возмущения, негодования, несогласия, удивления",False,False
762,"Так что же, вся эта организация — шутка? — продолжал Мышкин. =Ничего себе= шуточки… — пробормотал я. Вот именно!",128,128.0,True,3,1.0,False,"выражение возмущения, негодования, несогласия, удивления","хороший, неплохой",False,False
776,"Как переменилась матушка после кончины батюшки, — говорила моя мать, — она даже ростом как будто стала меньше; ничем =от души= не занимается, все ей стало словно чужое...",133,133.0,True,2,1.0,False,"1 искренне, откровенно; 2 увлеченно; 3 абсолютно; 4 очень сильно","искренний, чистосердечный, откровенный",False,False
782,"Я не для того, чтобы что-нибудь, а =от всей души=.",133,133.0,True,1,2.0,False,"искренний, чистосердечный, откровенный","1 искренне, откровенно; 2 увлеченно; 3 абсолютно; 4 очень сильно",False,False
783,"Давайте ударим еще разок по фюзеляжу, — лихо предложил Теткин. — Я на этот раз наведу — =пальчики оближете=.",136,136.0,True,2,1.0,False,"очень красивый, привлекательный, интересный, приводящий в восторг","очень вкусный, аппетитный, доставляющий удовольствие",False,False
784,"Почему же есть хозяйки, которые готовят мамалыгу так, что =пальцы оближешь=, а другие неважно готовят? — спросил старик.",136,,False,1,,False,"очень вкусный, аппетитный, доставляющий удовольствие",none,False,False
785,"У «Филимоновой и Янкеля» очень вкусно, — сказала девушка в норковом полушубке, — каких-нибудь рабоче-крестьянских дорад или сибасов они приготовят на гриле так, что =пальчики оближешь=.",136,136.0,True,3,1.0,False,"вкусно, аппетитно","очень вкусный, аппетитный, доставляющий удовольствие",False,False
